11,1157.72,-0.111221,0.0185714,1.01096,0.0372541,-0.457259,1.00512,-0.138702,0.522847,0.371289,-0.542692,0.521556,0.182963,-0.505493,0.552781,4.95422,0.202451,0.160201,5.11579,-0.00452832,0.085956,0.148684,0.226684,0.351495,0.452518,0.192124,0.554318,1.70156,0.319784,-0.353449,1.02778,-0.831289,0.0235147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,1659.48,-0.153627,-0.0816401,4.6433,0.104736,-0.128314,3.68489,0.00783934,-0.311173,1.05633,0.599534,-0.194553,1.0253,0.0327957,-0.848559,0.633766,-0.649482,0.320224,0.912201,0.265877,-0.615123,0.599237,0.236849,0.223213,3.60432,-0.221386,0.673947,1.24996,-0.149947,0.0370008,0.581796,-0.365816,0.428283,2.26482,0.229731,0.544118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,1444.55,0.189632,2.65115,0.443718,0.629816,2.07927,1.88488,0.872034,2.70448,0.298777,-0.048606,2.75872,0.521238,0.610763,2.70989,1.86645,-0.357556,2.68731,0.950461,0.379069,2.37879,2.77574,-0.196831,-3.01733,1.00012,0.12731,2.55638,0.411553,0.385248,2.17189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,1139.93,-0.592578,-1.16209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,1484.61,0.427927,1.81665,0.739495,1.10196,2.1327,1.8318,-0.11123,1.53495,1.17476,0.338773,2.13821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,1422.98,-1.28021,1.93341,1.72552,-1.96112,1.73925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,1072.37,-0.146139,0.478293,4.34408,0.328479,0.396572,18.2516,-0.152027,0.504137,2.68056,-0.124206,0.567953,0.553804,0.109514,1.16005,0.510814,-0.00889791,0.355616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,998.037,1.38133,1.78269,232.939,1.38135,1.78267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,1166.55,-1.64294,1.8864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,1366.01,-1.07757,-0.607261,2.27555,-1.2869,-0.549083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,1043.26,0.627678,2.19249,0.422125,0.120539,2.67956,0.253048,0.57615,1.66092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,1075.09,0.879891,-0.975813,5.36242,0.853348,-0.802693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,919.179,-0.753291,-1.26245,6.13945,-0.901116,-1.49075,7.55444,-0.619271,-1.31739,122.71,-0.74333,-1.27527,1.58236,-1.41996,-1.49698,147.039,-0.747476,-1.26143,6.79737,-0.799441,-1.23013,7.04391,-0.740359,-1.33295,13.2474,-0.762029,-1.41451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,1527.33,1.09439,-1.84066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,1122.64,-1.42969,2.16892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,1162.04,-0.350475,-2.25104,0.574262,-0.265206,-2.69771,0.164356,0.11371,-2.21033,2.1475,-0.842749,-1.82176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,1019.07,0.0718806,-0.0888408,2.06342,-0.0289958,-0.111516,2.79126,0.0407879,0.345284,29.7085,-0.00422703,-0.394692,25.5158,0.00383916,-0.348008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,1810.5,0.221899,1.28212,0.168413,0.39251,1.98839,1.16217,-0.0612299,1.22649,1.66881,0.139961,1.264,2.27918,-0.364822,0.773983,0.535872,0.366635,0.859471,0.734963,0.585327,1.72391,0.464812,-0.537591,1.34318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,1389.7,-0.352692,1.41965,1.25097,-0.547594,1.79299,3.06893,-0.387966,1.68689,1.59531,-0.719437,1.4961,0.125303,-0.172039,0.872449,1.64126,-0.412393,2.11917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,1685.94,0.530919,-0.693204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,1460.52,-0.633786,0.348109,4.20347,-1.02685,0.325151,0.828758,-0.961384,0.80158,1.30312,-1.32549,0.733209,2.26034,-1.32632,0.484906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,1055.56,-0.470016,-2.79368,1.16893,-0.0776866,-3.1355,1.68302,-0.833399,-2.99195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,1120.11,0.81136,1.29356,0.298601,1.12439,1.24312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,1292.62,-0.845169,-0.465534,0.382487,-0.980011,-0.297291,0.377173,-1.22306,-1.05018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,1022.17,0.829233,2.29043,1.57439,0.324715,1.85142,9.13926,0.782918,2.44956,1.94756,0.860441,1.71417,0.465604,0.982236,1.56359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,1199.28,0.0735989,-1.24822,0.95948,0.406842,-1.5342,4.50221,0.29637,-1.75677,2.68125,-0.0906421,-2.02212,0.984044,-0.366394,-1.05672,1.44292,0.133409,-1.94087,2.19377,0.0304338,-0.97568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,1216.03,0.195511,0.224526,0.0287467,0.753175,0.558479,1.11668,-0.137807,0.740905,1.03765,-0.0405375,0.0885258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,1030.79,0.319881,-0.659705,1.58287,0.912923,-0.770733,0.645903,0.401683,-0.0724822,0.494559,-0.0665483,-0.298619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,1254.73,-1.08007,0.534863,2.96519,-0.97867,1.135,2.16045,-0.383471,0.895999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,1164.1,0.427672,-2.26155,2.79497,0.253676,-2.6616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,1311.58,-0.00935016,3.1197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,1132.8,-0.808586,2.21831,4.42839,-0.471638,2.73956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,1276.84,-0.901753,-1.48908,0.4302,-1.21328,-1.99022,0.342542,-1.56134,-1.92277,1.33702,-0.88479,-1.0843,1.54789,-1.23329,-1.85257,0.556315,-0.99641,-1.458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,1301.73,-0.864452,1.33637,1.14666,-0.73716,1.56662,0.209427,-0.996509,0.992981,3.0027,-0.154032,1.53072,0.690891,-0.634602,0.676412,1.21395,-0.806629,1.55867,0.888853,-0.625323,1.47419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,1260.07,-0.881568,-3.12191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,476.685,1.04411,-2.38906,29.4074,0.950572,-2.3912,152.533,1.08462,-2.37625,49.8961,1.2425,-2.57449,24.9744,1.09121,-2.36331,96.7428,1.08553,-2.38092,56.7124,1.09911,-2.37693,179.708,1.08707,-2.38382,11.8665,1.05462,-2.36131,0.805802,0.484798,-2.71201,1.54276,0.429643,-1.99052,0.511841,0.651697,-3.03465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,1737.51,-0.633456,-1.7956,1.19185,-0.0324012,-2.12558,0.538776,-1.20463,-1.5484,1.49439,-1.38542,-1.67359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,1501.77,0.263811,2.11553,0.359689,0.246804,2.52339,3.9589,-0.00759817,1.9371,1.36219,0.370553,2.26375,1.75878,-0.153265,2.79296,0.63471,0.932164,1.97129,1.95177,0.458146,1.95844,2.22021,0.264259,2.72084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,1173.64,-0.346302,-2.03315,1.45149,0.0873792,-2.66416,1.56421,-0.724338,-2.73324,1.2971,-0.011729,-2.28267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,1491.04,-0.443048,-1.01367,0.581972,-1.0761,-0.767855,2.4585,-1.15882,-1.12527,3.28512,-0.723703,-0.710925,0.468758,0.0636536,-1.29114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,351.033,-1.10213,1.37345,19.4444,-1.04966,1.3145,4.8252,-1.16674,1.40943,725.361,-1.10243,1.37654,167.343,-1.10818,1.37642,0.875758,-0.476809,0.893562,247.42,-1.10017,1.3788,29.9533,-1.06733,1.37328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,1760.32,-0.281573,2.08508,3.26617,-0.160983,2.6144,2.07341,-0.505669,1.9793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,1288.86,1.16431,1.52162,0.686538,1.17746,1.25946,3.30418,1.16089,1.63064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,620.811,0.615706,-0.369954,13.0141,0.619706,-0.257509,0.988641,0.992319,-0.468211,146.292,0.611723,-0.362216,153.524,0.613548,-0.369992,65.5501,0.620157,-0.364176,5.0104,0.669812,-0.281039,3.20835,1.01263,0.310319,0.85583,0.871016,-0.574006,0.35415,-0.0118871,-0.169012,0.472693,0.71108,-1.13943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,1042.13,-0.96223,0.729828,0.135176,-0.469392,0.200919,0.944175,-1.08498,1.4253,7.2666,-0.466431,0.976022,1.87766,-0.599573,0.442875,0.488955,-1.00215,0.476281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
